source_file	source_root	file_kind	selection	selected_roots	direct_importers	active_imports	active_subfiles	commented_subfiles	direct_subfile_importers	commented_imports	substantive	prose_words	headings	construct_counts	labels	named_items	coverage_status	coverage_basis	formalolp_evidence	formal_declarations	audit_note
applied-modal-logic/applied-modal-logic.tex	applied-modal-logic	part	selected	applied-modal-logic	content.tex	2	0	0	-	0	yes	21	aml	editorial=1	-	-	structural-container	aggregator	-	-	Aggregator/editorial import container; child source files are audited separately.
applied-modal-logic/epistemic-logic/bisimulations.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	367	Bisimulations	defn=1;thm=1;figure=1	fig:bisimilar	defn:Bisimulation	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
applied-modal-logic/epistemic-logic/epistemic-logic.tex	applied-modal-logic	chapter	selected	applied-modal-logic	applied-modal-logic/applied-modal-logic.tex	8	0	0	-	0	yes	44	aml	editorial=1	-	-	structural-container	aggregator	-	-	Aggregator/editorial import container; child source files are audited separately.
applied-modal-logic/epistemic-logic/introduction.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	260	Introduction	-	-	-	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
applied-modal-logic/epistemic-logic/language-epistemic-logic.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	269	The Language of Epistemic Logic	defn=3	-	-	definition/statement-only	manual_definition_match	FormalOLP/AppliedModalLogic/Epistemic.lean	FormalOLP/AppliedModalLogic/Epistemic.lean:19-38	Native multi-agent Formula and knowledge operator; group/common-knowledge syntax is represented semantically rather than as a Formula constructor.
applied-modal-logic/epistemic-logic/properties-accessibility.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	307	Accessibility Relations and Epistemic Principles	table=1	tab:four	-	proved-equivalent	manual_statement_match	FormalOLP/AppliedModalLogic/Epistemic.lean	FormalOLP/AppliedModalLogic/Epistemic.lean:114-146	K, factivity/T, positive/4, and negative/5 introspection are proved under explicit relation hypotheses.
applied-modal-logic/epistemic-logic/public-announcement-logic-lang.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	254	Public Announcement Logic	defn=2	-	-	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
applied-modal-logic/epistemic-logic/public-announcement-logic-semantics.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	409	Semantics of Public Announcement Logic	defn=1;figure=1	defn:mmodels;defn:sub:mmodels-box;defn:sub:mmodels-pal;fig:announcement-example	defn:_#defn:mmodels,defn:sub:mmodels-box,defn:sub:mmodels-pal	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
applied-modal-logic/epistemic-logic/relational-models.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	220	Relational Models	defn=1	-	-	definition/statement-only	manual_definition_match	FormalOLP/AppliedModalLogic/Epistemic.lean	FormalOLP/AppliedModalLogic/Epistemic.lean:42-60	Native nonempty agent-indexed Frame and Model structures.
applied-modal-logic/epistemic-logic/truth-at-w.tex	applied-modal-logic	section	selected	applied-modal-logic	applied-modal-logic/epistemic-logic/epistemic-logic.tex	0	0	0	-	0	yes	367	Truth at a World	defn=2;prob=1;figure=1	defn:mmodels;defn:sub:mmodels-box;fig:simple	defn:_#defn:mmodels,defn:sub:mmodels-box	partial/weaker	manual_fragment_match	FormalOLP/AppliedModalLogic/Epistemic.lean	FormalOLP/AppliedModalLogic/Epistemic.lean:62-94	Truth clauses and knowledge semantics are native; public announcement and full source language variants are absent.
