source_file	source_root	file_kind	source_unit	selection	selected_roots	direct_importers	active_imports	commented_imports	substantive	prose_words	headings	construct_counts	labels	named_items	unit_start_line	unit_end_line	file_lines	file_words	coverage_status	coverage_basis	formalolp_evidence	formal_declarations	audit_note
propositional-logic/propositional-logic.tex	propositional-logic	part	section	selected	propositional-logic	content.tex	7	0	yes	100	pl	editorial=1	-	-	1	53	54	189	structural_container	aggregator	-	-	Aggregator/editorial import container; child source files are audited separately.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	section	section	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	defn=1;thm=1;prop=1;lem=1;cor=2;prob=1;proof=4	def:MaxCon;lem:truth;lem:truth-1;lem:truth-2;lem:truth-3;thm:completeness;prop:compactness	defn:_#def:MaxCon;thm:Completeness#thm:completeness;prop:Compactness Theorem#prop:compactness;lem:Truth Lemma#lem:truth,lem:truth-1,lem:truth-2,lem:truth-3	1	123	124	621	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	defn#1; label=def:MaxCon	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	def:MaxCon	defn#1; label=def:MaxCon	13	18	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	lem#1; label=lem:truth	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	lem:truth	lem#1; label=lem:truth	20	30	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	prob#1	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	-	prob#1	51	53	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	thm#1; label=thm:completeness	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	thm:completeness	thm#1; label=thm:completeness	55	58	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	cor#1	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	-	cor#1	95	97	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	prop#1; label=prop:compactness	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	prop:compactness	prop#1; label=prop:compactness	105	109	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/completeness.tex	propositional-logic	unit	cor#2	orphan_or_unselected	-	-	0	0	yes	272	Completeness of Propositional Logic	-	-	cor#2	118	121	124	621	missing	no_native_match_found	-	-	No active declaration was found for this source unit.
propositional-logic/syntax-and-semantics/formation-sequences.tex	propositional-logic	section	section	selected	propositional-logic	propositional-logic/syntax-and-semantics/syntax-and-semantics.tex	0	0	yes	404	Formation Sequences	defn=1;thm=1;prop=1;lem=1;ex=1;proof=3	defn:fseq-frm;prop:formed;lem:fseq-init;thm:fseq-frm-equiv	defn:Formation sequences for formulas#defn:fseq-frm;thm:_#thm:fseq-frm-equiv;prop:_#prop:formed;lem:_#lem:fseq-init	1	153	154	828	missing	no_native_match_found	-	-	No active FormalOLP declaration was found for this substantive source section.
